,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
TreasurySharesNumber,,0.0,,,
OrdinarySharesNumber,3216000000.0,3185000000.0,3164000000.0,3099000000.0,
ShareIssued,3216000000.0,3185000000.0,3164000000.0,3099000000.0,
TotalDebt,13623000000.0,9573000000.0,5748000000.0,8873000000.0,
TangibleBookValue,71443000000.0,62019000000.0,44111000000.0,28472000000.0,
InvestedCapital,80791000000.0,67291000000.0,46749000000.0,35531000000.0,
WorkingCapital,29539000000.0,20868000000.0,14208000000.0,7395000000.0,
NetTangibleAssets,71443000000.0,62019000000.0,44111000000.0,28472000000.0,
CapitalLeaseObligations,5745000000.0,4916000000.0,3703000000.0,3531000000.0,
CommonStockEquity,72913000000.0,62634000000.0,44704000000.0,30189000000.0,
TotalCapitalization,78448000000.0,65316000000.0,45733000000.0,34443000000.0,
TotalEquityGrossMinorityInterest,73680000000.0,63609000000.0,45898000000.0,31583000000.0,
MinorityInterest,767000000.0,975000000.0,1194000000.0,1394000000.0,
StockholdersEquity,72913000000.0,62634000000.0,44704000000.0,30189000000.0,
GainsLossesNotAffectingRetainedEarnings,-670000000.0,-143000000.0,-361000000.0,54000000.0,
OtherEquityAdjustments,-670000000.0,-143000000.0,-361000000.0,54000000.0,
RetainedEarnings,35209000000.0,27882000000.0,12885000000.0,329000000.0,
AdditionalPaidInCapital,38371000000.0,34892000000.0,32177000000.0,29803000000.0,
CapitalStock,3000000.0,3000000.0,3000000.0,3000000.0,
CommonStock,3000000.0,3000000.0,3000000.0,3000000.0,
PreferredStock,0.0,0.0,0.0,0.0,
TotalLiabilitiesNetMinorityInterest,48390000000.0,43009000000.0,36440000000.0,30548000000.0,
TotalNonCurrentLiabilitiesNetMinorityInterest,19569000000.0,14261000000.0,9731000000.0,10843000000.0,
OtherNonCurrentLiabilities,1093000000.0,876000000.0,686000000.0,320000000.0,
PreferredSecuritiesOutsideStockEquity,,,,568000000.0,604000000.0
NonCurrentAccruedExpenses,,3606000000.0,2480000000.0,1398000000.0,989000000.0
NonCurrentDeferredLiabilities,3317000000.0,3251000000.0,2804000000.0,2076000000.0,
NonCurrentDeferredRevenue,3317000000.0,3251000000.0,2804000000.0,2052000000.0,
NonCurrentDeferredTaxesLiabilities,,,82000000.0,24000000.0,151000000.0
LongTermDebtAndCapitalLeaseObligation,10360000000.0,6528000000.0,3761000000.0,6916000000.0,
LongTermCapitalLeaseObligation,4825000000.0,3846000000.0,2732000000.0,2662000000.0,
LongTermDebt,5535000000.0,2682000000.0,1029000000.0,4254000000.0,
LongTermProvisions,4799000000.0,3606000000.0,2480000000.0,1531000000.0,
CurrentLiabilities,28821000000.0,28748000000.0,26709000000.0,19705000000.0,
OtherCurrentLiabilities,1549000000.0,517000000.0,354000000.0,310000000.0,
CurrentDeferredLiabilities,4161000000.0,3740000000.0,2810000000.0,2372000000.0,
CurrentDeferredRevenue,4161000000.0,3740000000.0,2810000000.0,2372000000.0,
CurrentDebtAndCapitalLeaseObligation,3263000000.0,3045000000.0,1987000000.0,1957000000.0,
CurrentCapitalLeaseObligation,920000000.0,1070000000.0,971000000.0,869000000.0,
CurrentDebt,2343000000.0,1975000000.0,1016000000.0,1088000000.0,
OtherCurrentBorrowings,2343000000.0,1975000000.0,1016000000.0,1088000000.0,
LineOfCredit,,0.0,0.0,,
CurrentProvisions,2222000000.0,1765000000.0,1295000000.0,968000000.0,
PayablesAndAccruedExpenses,17626000000.0,19681000000.0,20263000000.0,14098000000.0,
CurrentAccruedExpenses,3785000000.0,4046000000.0,3773000000.0,2951000000.0,
InterestPayable,,,,16000000.0,77000000.0
Payables,13841000000.0,15635000000.0,16490000000.0,11147000000.0,
TotalTaxPayable,1367000000.0,1204000000.0,1235000000.0,1122000000.0,
AccountsPayable,12474000000.0,14431000000.0,15255000000.0,10025000000.0,
TotalAssets,122070000000.0,106618000000.0,82338000000.0,62131000000.0,
TotalNonCurrentAssets,63716000000.0,57003000000.0,41421000000.0,35027000000.0,
OtherNonCurrentAssets,4215000000.0,4531000000.0,3865000000.0,2138000000.0,
NonCurrentDeferredAssets,6524000000.0,6733000000.0,328000000.0,,
NonCurrentDeferredTaxesAssets,6524000000.0,6733000000.0,328000000.0,,
GoodwillAndOtherIntangibleAssets,1470000000.0,615000000.0,593000000.0,1717000000.0,
OtherIntangibleAssets,1226000000.0,362000000.0,399000000.0,1517000000.0,
Goodwill,244000000.0,253000000.0,194000000.0,200000000.0,
NetPPE,51507000000.0,45124000000.0,36635000000.0,31172000000.0,
AccumulatedDepreciation,-18898000000.0,-15077000000.0,-11499000000.0,-8691000000.0,
GrossPPE,70405000000.0,60201000000.0,48134000000.0,39863000000.0,
Leases,3688000000.0,3136000000.0,2366000000.0,1826000000.0,
ConstructionInProgress,6783000000.0,5791000000.0,4281000000.0,5598000000.0,
OtherProperties,14195000000.0,8819000000.0,5142000000.0,4204000000.0,
MachineryFurnitureEquipment,28272000000.0,26087000000.0,21705000000.0,16647000000.0,
LandAndImprovements,10677000000.0,9498000000.0,7751000000.0,4675000000.0,
Properties,6790000000.0,6870000000.0,6889000000.0,6913000000.0,
CurrentAssets,58360000000.0,49616000000.0,40917000000.0,27100000000.0,
OtherCurrentAssets,5362000000.0,3388000000.0,2941000000.0,1723000000.0,
PrepaidAssets,,,,1723000000.0,1346000000.0
Inventory,12017000000.0,13626000000.0,12839000000.0,5757000000.0,
OtherInventories,1303000000.0,1171000000.0,842000000.0,575000000.0,
FinishedGoods,3940000000.0,5049000000.0,3475000000.0,1277000000.0,
WorkInProcess,1532000000.0,2016000000.0,2385000000.0,1089000000.0,
RawMaterials,5242000000.0,5390000000.0,6137000000.0,2816000000.0,
Receivables,4418000000.0,3508000000.0,2952000000.0,1913000000.0,
AccountsReceivable,4418000000.0,3508000000.0,2952000000.0,1913000000.0,
CashCashEquivalentsAndShortTermInvestments,36563000000.0,29094000000.0,22185000000.0,17707000000.0,
OtherShortTermInvestments,20424000000.0,12696000000.0,5932000000.0,131000000.0,
CashAndCashEquivalents,16139000000.0,16398000000.0,16253000000.0,17576000000.0,
CashEquivalents,1753000000.0,495000000.0,2288000000.0,9548000000.0,
CashFinancial,14386000000.0,15903000000.0,13965000000.0,8028000000.0,
