,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
FreeCashFlow,72764000000.0,69495000000.0,60010000000.0,67012000000.0,
RepurchaseOfCapitalStock,-62222000000.0,-61504000000.0,-59296000000.0,-50274000000.0,
RepaymentOfDebt,-12701000000.0,-11550000000.0,-54068000000.0,-21435000000.0,
IssuanceOfDebt,13589000000.0,10790000000.0,52872000000.0,20199000000.0,
CapitalExpenditure,-52535000000.0,-32251000000.0,-31485000000.0,-24640000000.0,
IncomeTaxPaidSupplementalData,,19164000000.0,18892000000.0,13412000000.0,4990000000.0
EndCashPosition,23466000000.0,24048000000.0,21879000000.0,20945000000.0,
BeginningCashPosition,24048000000.0,21879000000.0,20945000000.0,26465000000.0,
EffectOfExchangeRateChanges,-612000000.0,-421000000.0,-506000000.0,-287000000.0,
ChangesInCash,30000000.0,2590000000.0,1440000000.0,-5233000000.0,
FinancingCashFlow,-79733000000.0,-72093000000.0,-69757000000.0,-61362000000.0,
CashFlowFromContinuingFinancingActivities,-79733000000.0,-72093000000.0,-69757000000.0,-61362000000.0,
NetOtherFinancingCharges,1154000000.0,8000000.0,35000000.0,310000000.0,
ProceedsFromStockOptionExercised,-12190000000.0,-9837000000.0,-9300000000.0,-10162000000.0,
CashDividendsPaid,-7363000000.0,0.0,0.0,,
CommonStockDividendPaid,-7363000000.0,0.0,0.0,,
NetCommonStockIssuance,-62222000000.0,-61504000000.0,-59296000000.0,-50274000000.0,
CommonStockPayments,-62222000000.0,-61504000000.0,-59296000000.0,-50274000000.0,
NetIssuancePaymentsOfDebt,888000000.0,-760000000.0,-1196000000.0,-1236000000.0,
NetLongTermDebtIssuance,888000000.0,-760000000.0,-1196000000.0,-1236000000.0,
LongTermDebtPayments,-12701000000.0,-11550000000.0,-54068000000.0,-21435000000.0,
LongTermDebtIssuance,13589000000.0,10790000000.0,52872000000.0,20199000000.0,
InvestingCashFlow,-45536000000.0,-27063000000.0,-20298000000.0,-35523000000.0,
CashFlowFromContinuingInvestingActivities,-45536000000.0,-27063000000.0,-20298000000.0,-35523000000.0,
NetOtherInvestingChanges,-2667000000.0,-1051000000.0,1589000000.0,541000000.0,
NetInvestmentPurchaseAndSale,12597000000.0,6734000000.0,16567000000.0,-8806000000.0,
SaleOfInvestment,104310000000.0,87619000000.0,97972000000.0,129228000000.0,
PurchaseOfInvestment,-91713000000.0,-80885000000.0,-81405000000.0,-138034000000.0,
NetBusinessPurchaseAndSale,-2931000000.0,-495000000.0,-6969000000.0,-2618000000.0,
PurchaseOfBusiness,-2931000000.0,-495000000.0,-6969000000.0,-2618000000.0,
NetPPEPurchaseAndSale,-52535000000.0,-32251000000.0,-31485000000.0,-24640000000.0,
PurchaseOfPPE,-52535000000.0,-32251000000.0,-31485000000.0,-24640000000.0,
OperatingCashFlow,125299000000.0,101746000000.0,91495000000.0,91652000000.0,
CashFlowFromContinuingOperatingActivities,125299000000.0,101746000000.0,91495000000.0,91652000000.0,
ChangeInWorkingCapital,-8406000000.0,-3845000000.0,-2235000000.0,-1523000000.0,
ChangeInOtherWorkingCapital,-1375000000.0,1048000000.0,951000000.0,149000000.0,
ChangeInOtherCurrentAssets,-1397000000.0,-2143000000.0,-5046000000.0,-1846000000.0,
ChangeInPayablesAndAccruedExpense,257000000.0,5083000000.0,4177000000.0,9269000000.0,
ChangeInAccruedExpense,-102000000.0,4419000000.0,3470000000.0,8986000000.0,
ChangeInPayable,359000000.0,664000000.0,707000000.0,283000000.0,
ChangeInAccountPayable,359000000.0,664000000.0,707000000.0,283000000.0,
ChangeInReceivables,-5891000000.0,-7833000000.0,-2317000000.0,-9095000000.0,
ChangesInAccountReceivables,-5891000000.0,-7833000000.0,-2317000000.0,-9095000000.0,
OtherNonCashItems,3419000000.0,4330000000.0,3483000000.0,-213000000.0,
StockBasedCompensation,22785000000.0,22460000000.0,19362000000.0,15376000000.0,
DeferredTax,-5257000000.0,-7763000000.0,-8081000000.0,1808000000.0,
DeferredIncomeTax,-5257000000.0,-7763000000.0,-8081000000.0,1808000000.0,
DepreciationAmortizationDepletion,15311000000.0,11946000000.0,13475000000.0,12441000000.0,
DepreciationAndAmortization,15311000000.0,11946000000.0,13475000000.0,12441000000.0,
AmortizationCashFlow,,,641000000.0,886000000.0,792000000.0
AmortizationOfIntangibles,,,641000000.0,886000000.0,792000000.0
Depreciation,15311000000.0,11946000000.0,13475000000.0,11555000000.0,
OperatingGainsLosses,-2671000000.0,823000000.0,5519000000.0,-12270000000.0,
GainLossOnInvestmentSecurities,-2671000000.0,823000000.0,5519000000.0,-12270000000.0,
NetIncomeFromContinuingOperations,100118000000.0,73795000000.0,59972000000.0,76033000000.0,
