,,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AAPL,Net Income,454000000.0,474900000.0,309800000.0,530400000.0,86600000.0,310178000.0,424000000.0,-816000000.0,-1045000000.0,309000000.0,601000000.0,786000000.0,-37000000.0,65000000.0,68000000.0,276000000.0,1335000000.0,1989000000.0,3496000000.0,4834000000.0,5704000000.0,14013000000.0,25922000000.0,41733000000.0,37037000000.0,39510000000.0,53394000000.0,45687000000.0,48351000000.0,59531000000.0,55256000000.0,57411000000.0,94680000000.0,99803000000.0,
AAPL,Depreciation and Amortization,124800000.0,202700000.0,204400000.0,217200000.0,166100000.0,167958000.0,127000000.0,156000000.0,118000000.0,111000000.0,85000000.0,84000000.0,102000000.0,118000000.0,113000000.0,150000000.0,179000000.0,225000000.0,317000000.0,473000000.0,703000000.0,1027000000.0,1814000000.0,3277000000.0,6757000000.0,7946000000.0,11257000000.0,10505000000.0,10157000000.0,10903000000.0,12547000000.0,11056000000.0,11284000000.0,11104000000.0,
AAPL,Deferred Income Tax,111300000.0,138900000.0,8000000.0,100900000.0,19000000.0,40800000.0,73000000.0,-439000000.0,-7000000.0,1000000.0,-35000000.0,163000000.0,-36000000.0,-34000000.0,-11000000.0,20000000.0,505000000.0,53000000.0,78000000.0,-368000000.0,-519000000.0,1440000000.0,2868000000.0,4405000000.0,1141000000.0,2347000000.0,1382000000.0,4938000000.0,5966000000.0,-32590000000.0,-340000000.0,-215000000.0,-4774000000.0,895000000.0,
AAPL,Stock Based Compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,33000000.0,42000000.0,163000000.0,242000000.0,516000000.0,710000000.0,879000000.0,1168000000.0,1740000000.0,2253000000.0,2863000000.0,3586000000.0,4210000000.0,4840000000.0,5340000000.0,6068000000.0,6829000000.0,7906000000.0,9038000000.0,
AAPL,Change in Working Capital,-109000000.0,145300000.0,-400700000.0,20700000.0,-946700000.0,247729000.0,-797000000.0,1109000000.0,670000000.0,387000000.0,377000000.0,157000000.0,211000000.0,-103000000.0,126000000.0,448000000.0,465000000.0,-221000000.0,1325000000.0,4119000000.0,3535000000.0,1212000000.0,5757000000.0,-299000000.0,6478000000.0,7047000000.0,11647000000.0,484000000.0,-5550000000.0,34694000000.0,-3488000000.0,5690000000.0,-4911000000.0,1200000000.0,
AAPL,Accounts Receivables,0.0,0.0,0.0,0.0,0.0,-199401000.0,-350000000.0,435000000.0,469000000.0,72000000.0,274000000.0,-272000000.0,487000000.0,-99000000.0,-201000000.0,-8000000.0,-121000000.0,-357000000.0,-385000000.0,-785000000.0,-939000000.0,-2142000000.0,143000000.0,-5551000000.0,-2172000000.0,-4232000000.0,611000000.0,1095000000.0,-2093000000.0,-5322000000.0,245000000.0,6917000000.0,-10125000000.0,-1823000000.0,
AAPL,Inventory,-13900000.0,119900000.0,-316200000.0,91600000.0,-926500000.0,418204000.0,-687000000.0,1113000000.0,225000000.0,359000000.0,58000000.0,-13000000.0,22000000.0,-34000000.0,-11000000.0,-45000000.0,-64000000.0,-105000000.0,-76000000.0,-163000000.0,54000000.0,-596000000.0,275000000.0,-15000000.0,-973000000.0,-76000000.0,-238000000.0,217000000.0,-2723000000.0,828000000.0,-289000000.0,-127000000.0,-2642000000.0,1484000000.0,
AAPL,Accounts Payables,0.0,0.0,0.0,0.0,0.0,139095000.0,283000000.0,-374000000.0,-107000000.0,34000000.0,93000000.0,345000000.0,-356000000.0,110000000.0,243000000.0,297000000.0,328000000.0,1611000000.0,1494000000.0,596000000.0,92000000.0,6307000000.0,2515000000.0,4467000000.0,2340000000.0,5938000000.0,5400000000.0,1791000000.0,9618000000.0,9175000000.0,-1923000000.0,-4062000000.0,12326000000.0,9448000000.0,
AAPL,Other Working Capital,-95100000.0,25400000.0,-84500000.0,-70900000.0,-20200000.0,-110169000.0,-43000000.0,-65000000.0,83000000.0,-78000000.0,-48000000.0,97000000.0,58000000.0,-80000000.0,95000000.0,204000000.0,322000000.0,-1370000000.0,292000000.0,4471000000.0,4328000000.0,-2357000000.0,2824000000.0,800000000.0,7283000000.0,5417000000.0,5874000000.0,-2619000000.0,-10352000000.0,30013000000.0,-1521000000.0,2962000000.0,-4470000000.0,-7909000000.0,
AAPL,Other Non Cash Items,-73800000.0,2100000.0,7200000.0,14500000.0,13200000.0,-29670000.0,-67000000.0,509000000.0,452000000.0,-33000000.0,-230000000.0,-364000000.0,-55000000.0,43000000.0,-23000000.0,7000000.0,9000000.0,11000000.0,12000000.0,22000000.0,26000000.0,24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-166000000.0,-444000000.0,-652000000.0,-97000000.0,-147000000.0,111000000.0,
